word,correct,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
tonk,n,0,0,0,w,0,1.7897805,None,0,0,0,3,0.045361,,0.0414,0.045361,0.5003182,0.5003182,0.5505407,2.3111417,w,0,1.7897805,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
frup,n,1,1,0,n,1,1.4763547,None,0,1,1,5,2.3405187,,2.3331716,2.3405187,2.8171237,2.8171237,2.850498,4.3024963,n,1,1.4763547,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
desk,w,2,2,0,w,1,0.9249268,None,0,2,2,0,4.3170272,,4.3111501,4.3170272,4.8171687,4.8171687,4.8171687,5.7517614,w,1,0.9249268,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
bottle,w,3,3,0,w,1,0.8259122,None,0,3,3,4,5.7677265,,5.7633839,5.7677265,6.266939,6.266939,6.266939,7.101725,w,1,0.8259122,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
tisf,n,4,4,0,n,1,0.9807776,None,0,4,4,1,7.1164574,,7.1088568,7.1164574,7.6163909,7.6163909,7.6163909,8.60255,n,1,0.9807776,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
cushion,w,5,5,0,n,0,1.042165,None,0,5,5,8,8.6212014,,8.6162607,8.6212014,9.1164269,9.1164269,9.133126,10.1686853,n,0,1.042165,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
geiv,n,6,6,0,n,1,1.2694769,None,0,6,6,6,10.1865203,,10.181898,10.1865203,10.6833814,10.6833814,10.7001043,11.9681698,n,1,1.2694769,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
chair,w,7,7,0,w,1,0.7530352,None,0,7,7,2,11.9832919,,11.9736863,11.9832919,12.4833391,12.4833391,12.4833391,13.2516105,w,1,0.7530352,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
phone,w,8,8,0,w,1,0.7360786,None,0,8,8,7,13.2665414,,13.2566035,13.2665414,13.7665415,13.7665415,13.7665415,14.5185042,w,1,0.7360786,None,464293,1,2024-12-02_23h05.34.975,Solo Project,2024.2.4,59.77565006,2024-12-02 23h05.40.291768 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,0.85642356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,1.379097425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Std (W),0.127765001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Std (N),0.340976494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0.014196111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,0.037886277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
